po_id,supplier_id,component,po_date,promised_date,actual_date,quantity,unit_cost,po_value
PO000549,S0019,Sensor,2025-12-16,2025-12-29,2026-01-01,622,38.07,23679.54
PO000550,S0068,Infotainment Unit,2025-10-04,2025-11-29,2025-12-03,1222,56.93,69568.46
PO000551,S0088,Motor Controller,2025-08-08,2025-10-01,2025-10-02,3129,74.31,232515.99
PO000552,S0081,Wiring Harness,2025-11-19,2026-02-04,2026-02-04,8858,300.81,2664574.98
PO000553,S0028,Sensor,2025-05-12,2025-07-10,2025-07-14,4690,215.26,1009569.4
PO000554,S0094,Battery Cell,2025-10-17,2026-01-08,2026-01-14,4709,104.05,489971.45
PO000555,S0075,Aluminum,2025-11-05,2026-01-13,2026-01-22,1321,408.08,539073.68
PO000556,S0088,Motor Controller,2025-02-02,2025-03-28,2025-03-28,8385,545.32,4572508.2
PO000557,S0046,Wiring Harness,2025-08-30,2025-09-11,2025-09-20,8719,580.73,5063384.87
PO000558,S0076,Motor Controller,2025-08-09,2025-10-04,2025-10-11,3199,212.81,680779.19
PO000559,S0091,Battery Cell,2025-07-26,2025-08-08,2025-08-09,1925,380.89,733213.25
PO000560,S0054,Tire,2025-12-07,2025-12-14,2025-12-14,5487,412.23,2261906.01
PO000561,S0002,Tire,2025-02-28,2025-03-12,2025-03-12,2952,540.46,1595437.92
PO000562,S0069,Tire,2025-03-03,2025-03-10,2025-03-17,2354,120.27,283115.58
PO000563,S0033,Battery Cell,2025-02-13,2025-05-01,2025-05-04,7971,343.27,2736205.17
PO000564,S0058,Motor Controller,2025-03-20,2025-04-20,2025-04-25,2723,507.17,1381023.91
PO000565,S0037,Infotainment Unit,2025-03-17,2025-05-01,2025-05-06,5099,205.86,1049680.14
PO000566,S0077,Infotainment Unit,2025-11-11,2025-12-30,2025-12-30,1560,125.01,195015.6
PO000567,S0054,Tire,2025-12-07,2025-12-14,2025-12-22,3124,63.45,198217.8
PO000568,S0054,Tire,2025-11-05,2025-11-12,2025-11-12,4106,151.16,620662.96
PO000569,S0093,Aluminum,2025-10-11,2025-11-30,2025-11-30,7204,528.29,3805801.16
PO000570,S0030,Infotainment Unit,2025-10-07,2025-11-01,2025-11-07,1120,563.77,631422.4
PO000571,S0072,Tire,2025-09-13,2025-09-23,2025-09-30,5961,107.8,642595.8
PO000572,S0006,Motor Controller,2025-07-09,2025-08-18,2025-08-20,7806,485.48,3789656.88
PO000573,S0008,Infotainment Unit,2025-07-17,2025-08-11,2025-08-13,8707,248.29,2161861.03
PO000574,S0032,Motor Controller,2025-07-26,2025-09-19,2025-09-19,8629,477.2,4117758.8
PO000575,S0059,Battery Cell,2025-07-06,2025-08-24,2025-08-28,3246,11.62,37718.52
PO000576,S0020,Steel,2025-02-03,2025-04-13,2025-04-18,8519,43.51,370661.69
PO000577,S0091,Battery Cell,2025-11-27,2025-12-10,2025-12-17,2955,14.49,42817.95
PO000578,S0005,Semiconductor,2025-12-11,2026-01-29,2026-02-06,5142,35.67,183415.14
PO000579,S0025,Semiconductor,2025-08-31,2025-10-27,2025-10-27,4006,87.67,351206.02
PO000580,S0004,Steel,2025-09-06,2025-09-15,2025-09-21,8858,445.83,3949162.14
PO000581,S0022,Battery Cell,2025-10-09,2025-10-21,2025-11-03,6030,449.37,2709701.1
PO000582,S0052,Tire,2025-03-09,2025-05-04,2025-05-15,5058,358.54,1813495.32
PO000583,S0097,Infotainment Unit,2025-01-17,2025-02-15,2025-02-17,7076,574.71,4066647.96
PO000584,S0072,Tire,2025-09-21,2025-10-01,2025-10-09,8465,361.38,3059081.7
PO000585,S0071,Infotainment Unit,2025-05-03,2025-05-13,2025-05-15,3575,221.54,792005.5
PO000586,S0050,Motor Controller,2025-06-16,2025-08-15,2025-08-17,2390,320.52,766042.8
PO000587,S0031,Battery Cell,2025-11-27,2026-01-18,2026-01-24,7130,596.77,4254970.1
PO000588,S0087,Brake Assembly,2025-05-15,2025-07-22,2025-07-22,6105,457.19,2791144.95
PO000589,S0079,Brake Assembly,2025-09-15,2025-11-03,2025-11-15,7827,324.79,2542131.33
PO000590,S0021,Wiring Harness,2025-01-24,2025-02-09,2025-02-14,8162,419.71,3425673.02
PO000591,S0065,Sensor,2025-08-11,2025-09-29,2025-09-29,2716,390.63,1060951.08
PO000592,S0044,Motor Controller,2025-12-28,2026-02-13,2026-02-22,3144,399.78,1256908.32
PO000593,S0070,Infotainment Unit,2025-07-09,2025-08-14,2025-08-14,1760,281.11,494753.6
PO000594,S0072,Tire,2025-09-06,2025-09-16,2025-09-18,627,488.42,306239.34
PO000595,S0049,Steel,2025-05-25,2025-08-04,2025-08-08,4060,479.99,1948759.4
PO000596,S0020,Steel,2025-10-07,2025-12-15,2025-12-22,8587,563.8,4841350.6
PO000597,S0069,Tire,2025-05-07,2025-05-14,2025-05-24,385,136.2,52437.0
PO000598,S0087,Brake Assembly,2025-03-03,2025-05-10,2025-05-12,2654,313.53,832108.62
PO000599,S0007,Infotainment Unit,2025-04-10,2025-04-17,2025-04-22,8425,22.75,191668.75
PO000600,S0092,Aluminum,2025-12-27,2026-03-03,2026-03-04,6984,359.66,2511865.44
PO000601,S0053,Wiring Harness,2025-02-12,2025-05-04,2025-05-11,587,292.01,171409.87
PO000602,S0059,Battery Cell,2025-09-27,2025-11-15,2025-11-19,6212,120.94,751279.28
PO000603,S0056,Tire,2025-12-03,2026-01-21,2026-01-21,6391,566.12,3618072.92
PO000604,S0083,Brake Assembly,2025-04-06,2025-06-12,2025-06-13,8874,568.72,5046821.28
PO000605,S0050,Motor Controller,2025-06-11,2025-08-10,2025-08-12,3511,84.42,296398.62
PO000606,S0090,Tire,2025-02-27,2025-05-22,2025-06-02,3751,255.89,959843.39
PO000607,S0037,Infotainment Unit,2025-09-23,2025-11-07,2025-11-15,3841,24.34,93489.94
PO000608,S0035,Steel,2025-04-29,2025-07-05,2025-07-05,6558,524.93,3442490.94
PO000609,S0038,Brake Assembly,2025-02-02,2025-02-26,2025-02-26,4651,582.46,2709021.46
PO000610,S0049,Steel,2025-05-08,2025-07-18,2025-07-23,856,203.91,174546.96
PO000611,S0003,Aluminum,2025-11-05,2026-01-18,2026-01-28,6402,564.98,3617001.96
PO000612,S0018,Battery Cell,2025-09-07,2025-10-30,2025-10-30,3731,219.47,818842.57
PO000613,S0083,Brake Assembly,2025-07-19,2025-09-24,2025-09-24,8335,353.03,2942505.05
PO000614,S0009,Tire,2025-05-10,2025-06-27,2025-07-02,3997,299.92,1198780.24
PO000615,S0055,Battery Cell,2025-07-08,2025-07-16,2025-07-19,5025,562.65,2827316.25
PO000616,S0097,Infotainment Unit,2025-01-31,2025-03-01,2025-03-12,298,5.34,1591.32
PO000617,S0054,Tire,2025-07-25,2025-08-01,2025-08-12,2341,518.51,1213831.91
PO000618,S0043,Infotainment Unit,2025-01-09,2025-03-15,2025-03-15,2877,441.15,1269188.55
PO000619,S0089,Motor Controller,2025-08-08,2025-09-27,2025-10-01,3468,388.9,1348705.2
PO000620,S0003,Aluminum,2025-10-10,2025-12-23,2025-12-23,6400,593.49,3798336.0
PO000621,S0100,Sensor,2025-10-02,2025-10-15,2025-10-21,2797,505.5,1413883.5
PO000622,S0053,Wiring Harness,2025-12-31,2026-03-22,2026-03-24,4956,140.43,695971.08
PO000623,S0071,Infotainment Unit,2025-09-21,2025-10-01,2025-10-11,4299,408.92,1757947.08
PO000624,S0020,Steel,2025-02-14,2025-04-24,2025-04-24,2934,178.98,525127.32
PO000625,S0052,Tire,2025-04-25,2025-06-20,2025-06-20,870,472.45,411031.5
PO000626,S0099,Wiring Harness,2025-01-28,2025-02-23,2025-03-09,8003,407.31,3259701.93
PO000627,S0037,Infotainment Unit,2025-02-28,2025-04-14,2025-04-22,2646,378.36,1001140.56
PO000628,S0098,Brake Assembly,2025-08-17,2025-09-19,2025-09-19,2797,255.36,714241.92
PO000629,S0067,Sensor,2025-10-25,2026-01-09,2026-01-13,8052,19.24,154920.48
PO000630,S0031,Battery Cell,2025-02-23,2025-04-16,2025-04-17,2250,114.28,257130.0
PO000631,S0069,Tire,2025-06-26,2025-07-03,2025-07-03,7083,181.71,1287051.93
PO000632,S0062,Steel,2025-06-02,2025-08-19,2025-08-20,324,581.84,188516.16
PO000633,S0021,Wiring Harness,2025-06-05,2025-06-21,2025-06-26,2522,308.95,779171.9
PO000634,S0007,Infotainment Unit,2025-04-19,2025-04-26,2025-04-28,7518,133.24,1001698.32
PO000635,S0092,Aluminum,2025-12-12,2026-02-16,2026-02-17,8103,300.32,2433492.96
PO000636,S0065,Sensor,2025-10-15,2025-12-03,2025-12-13,1322,47.98,63429.56
PO000637,S0095,Wiring Harness,2025-11-03,2025-12-14,2025-12-14,3858,586.27,2261829.66
PO000638,S0009,Tire,2025-06-18,2025-08-05,2025-08-11,1899,172.08,326779.92
PO000639,S0054,Tire,2025-05-18,2025-05-25,2025-05-29,4328,41.27,178616.56
PO000640,S0018,Battery Cell,2025-04-11,2025-06-03,2025-06-03,2771,252.7,700231.7
PO000641,S0065,Sensor,2025-11-30,2026-01-18,2026-01-29,5014,530.91,2661982.74
PO000642,S0045,Wiring Harness,2025-01-15,2025-03-28,2025-03-28,4230,308.49,1304912.7
PO000643,S0097,Infotainment Unit,2025-11-03,2025-12-02,2025-12-05,2359,223.37,526929.83
PO000644,S0062,Steel,2025-10-23,2026-01-09,2026-01-11,6245,448.89,2803318.05
PO000645,S0053,Wiring Harness,2025-03-29,2025-06-18,2025-06-23,294,551.97,162279.18
PO000646,S0075,Aluminum,2025-05-11,2025-07-19,2025-07-26,5813,290.54,1688909.02
PO000647,S0078,Semiconductor,2025-11-22,2025-12-08,2025-12-11,6876,199.03,1368530.28
PO000648,S0025,Semiconductor,2025-08-30,2025-10-26,2025-10-29,8846,101.75,900080.5
PO000649,S0003,Aluminum,2025-04-24,2025-07-07,2025-07-10,4094,221.34,906165.96
PO000650,S0076,Motor Controller,2025-03-02,2025-04-27,2025-04-29,5845,178.15,1041286.75
PO000651,S0034,Semiconductor,2025-07-15,2025-08-26,2025-09-02,7796,184.3,1436802.8
PO000652,S0037,Infotainment Unit,2025-01-12,2025-02-26,2025-03-04,4731,378.71,1791677.01
PO000653,S0044,Motor Controller,2025-08-06,2025-09-22,2025-09-25,7903,60.23,475997.69
PO000654,S0043,Infotainment Unit,2025-12-31,2026-03-06,2026-03-12,825,301.14,248440.5
PO000655,S0077,Infotainment Unit,2025-09-05,2025-10-24,2025-10-27,4302,502.98,2163819.96
PO000656,S0040,Motor Controller,2025-01-22,2025-01-29,2025-02-04,1445,103.89,150121.05
PO000657,S0003,Aluminum,2025-04-20,2025-07-03,2025-07-09,2536,521.26,1321915.36
PO000658,S0051,Tire,2025-02-28,2025-04-10,2025-04-18,3089,138.18,426838.02
PO000659,S0005,Semiconductor,2025-09-11,2025-10-30,2025-11-03,5804,109.36,634725.44
PO000660,S0048,Aluminum,2025-03-17,2025-05-29,2025-05-29,7074,329.51,2330953.74
PO000661,S0062,Steel,2025-11-21,2026-02-07,2026-02-11,1361,230.09,313152.49
PO000662,S0057,Motor Controller,2025-07-16,2025-07-24,2025-07-25,1702,72.86,124007.72
PO000663,S0014,Brake Assembly,2025-04-06,2025-06-06,2025-06-17,3123,278.56,869942.88
PO000664,S0030,Infotainment Unit,2025-05-06,2025-05-31,2025-06-02,8468,81.09,686670.12
PO000665,S0082,Aluminum,2025-01-16,2025-03-26,2025-03-26,5456,310.52,1694197.12
PO000666,S0011,Sensor,2025-08-19,2025-09-22,2025-09-25,3555,17.02,60506.1
PO000667,S0067,Sensor,2025-05-04,2025-07-19,2025-07-26,4915,41.72,205053.8
PO000668,S0097,Infotainment Unit,2025-10-03,2025-11-01,2025-11-06,8428,456.82,3850078.96
PO000669,S0065,Sensor,2025-06-01,2025-07-20,2025-07-20,1912,167.94,321101.28
PO000670,S0051,Tire,2025-01-01,2025-02-11,2025-02-15,545,117.65,64119.25
PO000671,S0025,Semiconductor,2025-03-03,2025-04-29,2025-05-03,536,323.23,173251.28
PO000672,S0042,Sensor,2025-02-14,2025-03-08,2025-03-09,1396,575.56,803481.76
PO000673,S0089,Motor Controller,2025-02-22,2025-04-13,2025-04-25,6920,92.05,636986.0
PO000674,S0005,Semiconductor,2025-11-25,2026-01-13,2026-01-19,2256,180.73,407726.88
PO000675,S0042,Sensor,2025-08-11,2025-09-02,2025-09-04,8561,99.05,847967.05
PO000676,S0065,Sensor,2025-09-02,2025-10-21,2025-10-21,1876,440.51,826396.76
PO000677,S0083,Brake Assembly,2025-12-28,2026-03-05,2026-03-13,228,82.44,18796.32
PO000678,S0083,Brake Assembly,2025-10-31,2026-01-06,2026-01-18,8994,410.45,3691587.3
PO000679,S0020,Steel,2025-06-23,2025-08-31,2025-09-04,3209,178.09,571490.81
PO000680,S0100,Sensor,2025-09-08,2025-09-21,2025-10-01,2742,35.12,96299.04
PO000681,S0047,Sensor,2025-07-27,2025-09-07,2025-09-13,6997,367.09,2568528.73
PO000682,S0013,Brake Assembly,2025-09-30,2025-12-17,2025-12-18,8560,154.68,1324060.8
PO000683,S0007,Infotainment Unit,2025-01-01,2025-01-08,2025-01-10,7530,187.9,1414887.0
PO000684,S0017,Infotainment Unit,2025-04-09,2025-06-08,2025-06-08,5009,576.19,2886135.71
PO000685,S0001,Brake Assembly,2025-01-03,2025-03-06,2025-03-07,5145,542.82,2792808.9
PO000686,S0017,Infotainment Unit,2025-06-30,2025-08-29,2025-08-29,8892,340.33,3026214.36
PO000687,S0016,Wiring Harness,2025-09-03,2025-10-11,2025-10-11,6923,106.82,739514.86
PO000688,S0083,Brake Assembly,2025-12-17,2026-02-22,2026-02-26,8581,543.23,4661456.63
PO000689,S0082,Aluminum,2025-01-11,2025-03-21,2025-03-22,3863,28.58,110404.54
PO000690,S0073,Motor Controller,2025-12-19,2026-02-16,2026-02-17,5503,90.97,500607.91
PO000691,S0020,Steel,2025-05-26,2025-08-03,2025-08-03,7571,380.69,2882203.99
PO000692,S0017,Infotainment Unit,2025-10-20,2025-12-19,2025-12-22,4520,449.14,2030112.8
PO000693,S0095,Wiring Harness,2025-04-01,2025-05-12,2025-05-21,3627,268.06,972253.62
PO000694,S0004,Steel,2025-01-03,2025-01-12,2025-01-12,8931,383.23,3422627.13
PO000695,S0026,Motor Controller,2025-02-07,2025-04-02,2025-04-03,1555,111.75,173771.25
PO000696,S0019,Sensor,2025-02-02,2025-02-15,2025-02-17,4834,280.16,1354293.44
PO000697,S0022,Battery Cell,2025-12-29,2026-01-10,2026-01-10,1238,321.69,398252.22
PO000698,S0035,Steel,2025-04-23,2025-06-29,2025-07-05,5984,330.51,1977771.84
PO000699,S0039,Wiring Harness,2025-04-02,2025-05-11,2025-05-15,4114,353.55,1454504.7
PO000700,S0039,Wiring Harness,2025-12-11,2026-01-19,2026-01-28,6786,287.1,1948260.6
PO000701,S0070,Infotainment Unit,2025-02-28,2025-04-05,2025-04-05,5245,69.27,363321.15
PO000702,S0060,Steel,2025-08-20,2025-10-11,2025-10-17,8794,163.03,1433685.82
PO000703,S0007,Infotainment Unit,2025-04-01,2025-04-08,2025-04-12,5523,447.73,2472812.79
PO000704,S0047,Sensor,2025-07-12,2025-08-23,2025-08-27,7552,324.71,2452209.92
PO000705,S0042,Sensor,2025-01-16,2025-02-07,2025-02-07,6501,510.84,3320970.84
PO000706,S0005,Semiconductor,2025-03-26,2025-05-14,2025-05-22,1111,573.5,637158.5
PO000707,S0045,Wiring Harness,2025-11-01,2026-01-12,2026-01-16,3613,563.1,2034480.3
PO000708,S0067,Sensor,2025-08-05,2025-10-20,2025-10-31,4702,553.06,2600488.12
PO000709,S0097,Infotainment Unit,2025-01-15,2025-02-13,2025-02-17,4518,40.55,183204.9
PO000710,S0079,Brake Assembly,2025-10-30,2025-12-18,2025-12-22,8618,289.05,2491032.9
PO000711,S0025,Semiconductor,2025-10-09,2025-12-05,2025-12-05,559,222.49,124371.91
PO000712,S0018,Battery Cell,2025-03-25,2025-05-17,2025-05-17,1338,435.58,582806.04
PO000713,S0067,Sensor,2025-08-18,2025-11-02,2025-11-12,4810,357.1,1717651.0
PO000714,S0050,Motor Controller,2025-05-13,2025-07-12,2025-07-22,8805,404.56,3562150.8
PO000715,S0083,Brake Assembly,2025-12-28,2026-03-05,2026-03-16,8755,235.18,2059000.9
PO000716,S0074,Steel,2025-07-29,2025-09-17,2025-09-21,7990,434.24,3469577.6
PO000717,S0021,Wiring Harness,2025-10-15,2025-10-31,2025-11-02,406,498.96,202577.76
PO000718,S0036,Steel,2025-05-22,2025-06-24,2025-06-29,4291,61.29,262995.39
PO000719,S0073,Motor Controller,2025-09-06,2025-11-04,2025-11-04,1041,27.37,28492.17
PO000720,S0091,Battery Cell,2025-09-12,2025-09-25,2025-09-30,3806,59.19,225277.14
PO000721,S0011,Sensor,2025-02-09,2025-03-15,2025-03-18,5139,269.21,1383470.19
PO000722,S0023,Aluminum,2025-01-30,2025-04-12,2025-04-12,7418,142.83,1059512.94
PO000723,S0077,Infotainment Unit,2025-12-06,2026-01-24,2026-01-29,5645,27.26,153882.7
PO000724,S0056,Tire,2025-06-20,2025-08-08,2025-08-09,1624,35.63,57863.12
PO000725,S0053,Wiring Harness,2025-01-03,2025-03-25,2025-04-03,7311,66.87,488886.57
PO000726,S0074,Steel,2025-05-28,2025-07-17,2025-07-17,3263,190.8,622580.4
PO000727,S0086,Semiconductor,2025-09-20,2025-11-30,2025-11-30,4769,321.82,1534759.58
PO000728,S0055,Battery Cell,2025-01-28,2025-02-05,2025-02-11,5445,591.95,3223167.75
PO000729,S0050,Motor Controller,2025-07-11,2025-09-09,2025-09-13,2871,245.13,703768.23
PO000730,S0021,Wiring Harness,2025-02-13,2025-03-01,2025-03-06,2745,103.5,284107.5
PO000731,S0053,Wiring Harness,2025-03-08,2025-05-28,2025-06-04,8210,86.36,709015.6
PO000732,S0028,Sensor,2025-10-18,2025-12-16,2025-12-16,8845,199.02,1760331.9
PO000733,S0030,Infotainment Unit,2025-09-06,2025-10-01,2025-10-08,1711,340.99,583433.89
PO000734,S0055,Battery Cell,2025-11-17,2025-11-25,2025-12-01,4876,498.72,2431758.72
PO000735,S0082,Aluminum,2025-10-17,2025-12-25,2025-12-28,8753,327.94,2870458.82
PO000736,S0014,Brake Assembly,2025-01-21,2025-03-23,2025-03-23,7780,18.7,145486.0
PO000737,S0070,Infotainment Unit,2025-04-25,2025-05-31,2025-06-01,3038,459.74,1396690.12
PO000738,S0012,Steel,2025-01-29,2025-02-08,2025-02-16,2867,306.83,879681.61
PO000739,S0066,Wiring Harness,2025-08-09,2025-08-31,2025-09-07,4650,523.64,2434926.0
PO000740,S0010,Tire,2025-08-04,2025-09-22,2025-09-25,1600,162.06,259296.0
PO000741,S0004,Steel,2025-03-28,2025-04-06,2025-04-06,1816,280.49,509369.84
PO000742,S0034,Semiconductor,2025-03-03,2025-04-14,2025-04-20,4245,578.89,2457388.05
PO000743,S0068,Infotainment Unit,2025-06-25,2025-08-20,2025-08-24,6675,109.93,733782.75
PO000744,S0026,Motor Controller,2025-07-22,2025-09-14,2025-09-17,4456,436.19,1943662.64
PO000745,S0009,Tire,2025-01-15,2025-03-04,2025-03-12,1274,319.44,406966.56
PO000746,S0100,Sensor,2025-07-23,2025-08-05,2025-08-09,8029,468.59,3762309.11
PO000747,S0051,Tire,2025-11-21,2026-01-01,2026-01-09,6522,470.42,3068079.24
PO000748,S0044,Motor Controller,2025-06-28,2025-08-14,2025-08-14,3783,34.71,131307.93
PO000749,S0033,Battery Cell,2025-05-26,2025-08-11,2025-08-11,8768,328.62,2881340.16
PO000750,S0037,Infotainment Unit,2025-09-22,2025-11-06,2025-11-08,8350,485.04,4050084.0
PO000751,S0076,Motor Controller,2025-04-25,2025-06-20,2025-06-20,2471,126.26,311988.46
PO000752,S0013,Brake Assembly,2025-06-26,2025-09-12,2025-09-12,2684,219.27,588520.68
PO000753,S0067,Sensor,2025-02-08,2025-04-25,2025-04-27,8696,208.09,1809550.64
PO000754,S0006,Motor Controller,2025-06-24,2025-08-03,2025-08-11,1784,406.14,724553.76
PO000755,S0081,Wiring Harness,2025-03-02,2025-05-18,2025-05-24,2833,162.51,460390.83
PO000756,S0070,Infotainment Unit,2025-06-04,2025-07-10,2025-07-16,2850,595.71,1697773.5
PO000757,S0078,Semiconductor,2025-11-10,2025-11-26,2025-12-04,1957,68.59,134230.63
PO000758,S0062,Steel,2025-10-14,2025-12-31,2026-01-05,4384,312.5,1370000.0
PO000759,S0090,Tire,2025-01-28,2025-04-22,2025-04-24,8895,222.81,1981894.95
PO000760,S0035,Steel,2025-10-05,2025-12-11,2025-12-11,2750,130.11,357802.5
PO000761,S0017,Infotainment Unit,2025-07-05,2025-09-03,2025-09-07,2363,416.34,983811.42
PO000762,S0012,Steel,2025-06-05,2025-06-15,2025-06-27,5196,522.37,2714234.52
PO000763,S0002,Tire,2025-05-24,2025-06-05,2025-06-12,3302,253.98,838641.96
PO000764,S0073,Motor Controller,2025-01-13,2025-03-13,2025-03-15,6257,184.63,1155229.91
PO000765,S0072,Tire,2025-04-08,2025-04-18,2025-04-28,7894,170.34,1344663.96
PO000766,S0096,Tire,2025-12-18,2026-01-17,2026-01-23,3114,109.21,340079.94
PO000767,S0079,Brake Assembly,2025-02-09,2025-03-30,2025-04-08,4521,293.92,1328812.32
PO000768,S0035,Steel,2025-08-07,2025-10-13,2025-10-14,57,153.93,8774.01
PO000769,S0068,Infotainment Unit,2025-01-09,2025-03-06,2025-03-06,8196,221.41,1814676.36
PO000770,S0011,Sensor,2025-01-02,2025-02-05,2025-02-14,1808,119.07,215278.56
PO000771,S0029,Infotainment Unit,2025-06-09,2025-07-23,2025-08-03,1264,567.13,716852.32
PO000772,S0044,Motor Controller,2025-12-31,2026-02-16,2026-02-17,6274,375.93,2358584.82
PO000773,S0085,Wiring Harness,2025-12-17,2026-03-05,2026-03-07,6094,305.33,1860681.02
PO000774,S0049,Steel,2025-05-24,2025-08-03,2025-08-03,7994,47.39,378835.66
PO000775,S0026,Motor Controller,2025-03-25,2025-05-18,2025-05-24,1449,405.09,586975.41
PO000776,S0020,Steel,2025-01-17,2025-03-27,2025-04-04,2357,442.46,1042878.22
PO000777,S0017,Infotainment Unit,2025-01-13,2025-03-14,2025-03-14,3420,219.94,752194.8
PO000778,S0007,Infotainment Unit,2025-10-22,2025-10-29,2025-10-29,1466,152.07,222934.62
PO000779,S0020,Steel,2025-03-25,2025-06-02,2025-06-02,2963,473.63,1403365.69
PO000780,S0096,Tire,2025-05-29,2025-06-28,2025-07-04,3996,413.26,1651386.96
PO000781,S0002,Tire,2025-01-27,2025-02-08,2025-02-14,4714,252.36,1189625.04
PO000782,S0036,Steel,2025-05-27,2025-06-29,2025-07-01,4127,278.02,1147388.54
PO000783,S0034,Semiconductor,2025-08-21,2025-10-02,2025-10-04,2149,161.2,346418.8
PO000784,S0058,Motor Controller,2025-02-22,2025-03-25,2025-04-11,714,5.17,3691.38
PO000785,S0031,Battery Cell,2025-01-23,2025-03-16,2025-03-22,8718,329.41,2871796.38
PO000786,S0076,Motor Controller,2025-12-15,2026-02-09,2026-02-12,432,60.36,26075.52
PO000787,S0098,Brake Assembly,2025-02-24,2025-03-29,2025-03-30,7333,406.7,2982331.1
PO000788,S0060,Steel,2025-08-16,2025-10-07,2025-10-08,3316,89.99,298406.84
PO000789,S0041,Semiconductor,2025-10-11,2025-11-16,2025-11-17,7349,195.33,1435480.17
PO000790,S0079,Brake Assembly,2025-06-12,2025-07-31,2025-08-05,3887,446.01,1733640.87
PO000791,S0032,Motor Controller,2025-04-22,2025-06-16,2025-06-19,3388,93.43,316540.84
PO000792,S0095,Wiring Harness,2025-06-25,2025-08-05,2025-08-05,431,328.13,141424.03
PO000793,S0026,Motor Controller,2025-04-04,2025-05-28,2025-05-31,1327,130.72,173465.44
PO000794,S0049,Steel,2025-09-21,2025-12-01,2025-12-01,6786,349.68,2372928.48
PO000795,S0016,Wiring Harness,2025-11-24,2026-01-01,2026-01-01,3848,54.66,210331.68
PO000796,S0057,Motor Controller,2025-07-01,2025-07-09,2025-07-18,2609,136.05,354954.45
PO000797,S0080,Infotainment Unit,2025-06-02,2025-06-15,2025-06-21,6568,126.79,832756.72
PO000798,S0099,Wiring Harness,2025-05-23,2025-06-18,2025-06-22,8075,453.39,3661124.25
PO000799,S0045,Wiring Harness,2025-12-29,2026-03-11,2026-03-11,8831,406.2,3587152.2
PO000800,S0035,Steel,2025-10-28,2026-01-03,2026-01-13,2254,313.84,707395.36
PO000801,S0013,Brake Assembly,2025-08-12,2025-10-29,2025-10-31,6852,566.5,3881658.0
PO000802,S0040,Motor Controller,2025-08-03,2025-08-10,2025-08-10,7182,526.11,3778522.02
PO000803,S0033,Battery Cell,2025-11-07,2026-01-23,2026-01-31,4860,81.1,394146.0
PO000804,S0097,Infotainment Unit,2025-01-17,2025-02-15,2025-02-23,546,204.19,111487.74
PO000805,S0024,Sensor,2025-12-05,2026-02-26,2026-02-28,4916,17.63,86669.08
PO000806,S0069,Tire,2025-12-13,2025-12-20,2025-12-25,7664,118.11,905195.04
PO000807,S0100,Sensor,2025-02-18,2025-03-03,2025-03-08,6090,541.19,3295847.1
PO000808,S0050,Motor Controller,2025-08-25,2025-10-24,2025-10-24,4582,377.84,1731262.88
PO000809,S0023,Aluminum,2025-11-17,2026-01-28,2026-02-08,5300,471.93,2501229.0
PO000810,S0009,Tire,2025-01-10,2025-02-27,2025-03-06,4486,518.64,2326619.04
PO000811,S0086,Semiconductor,2025-08-30,2025-11-09,2025-11-12,8777,340.08,2984882.16
PO000812,S0071,Infotainment Unit,2025-03-27,2025-04-06,2025-04-14,2155,119.14,256746.7
PO000813,S0074,Steel,2025-03-30,2025-05-19,2025-05-19,1155,431.12,497943.6
PO000814,S0099,Wiring Harness,2025-07-14,2025-08-09,2025-08-16,6425,242.56,1558448.0
PO000815,S0021,Wiring Harness,2025-07-24,2025-08-09,2025-08-15,7805,210.17,1640376.85
PO000816,S0033,Battery Cell,2025-03-25,2025-06-10,2025-06-12,7187,514.66,3698861.42
PO000817,S0010,Tire,2025-02-12,2025-04-02,2025-04-08,5914,257.71,1524096.94
PO000818,S0082,Aluminum,2025-12-28,2026-03-07,2026-03-12,5243,344.5,1806213.5
PO000819,S0038,Brake Assembly,2025-12-09,2026-01-02,2026-01-06,150,101.4,15210.0
PO000820,S0005,Semiconductor,2025-08-15,2025-10-03,2025-10-06,3942,403.63,1591109.46
PO000821,S0010,Tire,2025-10-14,2025-12-02,2025-12-02,3723,36.71,136671.33
PO000822,S0075,Aluminum,2025-06-28,2025-09-05,2025-09-13,4229,409.07,1729957.03
PO000823,S0007,Infotainment Unit,2025-10-11,2025-10-18,2025-10-26,7589,90.1,683768.9
PO000824,S0045,Wiring Harness,2025-06-28,2025-09-08,2025-09-16,6317,332.76,2102044.92
PO000825,S0046,Wiring Harness,2025-01-15,2025-01-27,2025-01-27,2721,394.62,1073761.02
PO000826,S0013,Brake Assembly,2025-06-09,2025-08-26,2025-08-26,6937,154.35,1070725.95
PO000827,S0029,Infotainment Unit,2025-04-10,2025-05-24,2025-05-28,4177,186.91,780723.07
PO000828,S0097,Infotainment Unit,2025-05-10,2025-06-08,2025-06-08,8739,532.8,4656139.2
PO000829,S0044,Motor Controller,2025-03-11,2025-04-27,2025-05-04,2073,166.09,344304.57
PO000830,S0032,Motor Controller,2025-08-13,2025-10-07,2025-10-13,8543,232.35,1984966.05
PO000831,S0100,Sensor,2025-09-26,2025-10-09,2025-10-18,924,58.3,53869.2
PO000832,S0064,Steel,2025-04-28,2025-07-08,2025-07-08,3296,106.25,350200.0
PO000833,S0093,Aluminum,2025-06-01,2025-07-21,2025-07-21,1965,36.33,71388.45
